trait;term;estimate;std.error;statistic;p.value
LDMC;(Intercept);-0.443116831;0.253211912;-1.749984143;0.087254626
LDMC;elevation;0.000297747;0.000116993;2.54498983;0.014598471
LDMC;FDD;-0.000100162;0.000125332;-0.799170044;0.428584302
LDMC;GDD;-8.38E-06;9.99E-06;-0.838360772;0.40646437
LDMC;Snw;-0.000103387;7.32E-05;-1.411841831;0.16519246
leaf_area;(Intercept);1.961696575;4.47645475;0.43822549;0.663416566
leaf_area;elevation;0.001550874;0.002068292;0.749833334;0.457438213
leaf_area;FDD;0.000647421;0.002215714;0.292195037;0.771542718
leaf_area;GDD;-0.00043337;0.000176673;-2.45294939;0.018300363
leaf_area;Snw;0.002033192;0.00129458;1.570541746;0.123619365
odds_B_dark;(Intercept);40.99281147;44.27023536;0.925967778;0.359630734
odds_B_dark;elevation;-0.031534802;0.020454526;-1.541702933;0.130473678
odds_B_dark;FDD;-0.00473656;0.021912472;-0.216158157;0.829886646
odds_B_dark;GDD;0.003670572;0.001747223;2.100803877;0.041557956
odds_B_dark;Snw;-0.018729058;0.012802846;-1.462882363;0.150771067
odds_C_WP;(Intercept);-253.8105204;81.98607976;-3.095775785;0.003448324
odds_C_WP;elevation;0.114067698;0.037880675;3.011237231;0.004344009
odds_C_WP;FDD;-0.037863529;0.040580712;-0.933042494;0.356007857
odds_C_WP;GDD;0.002344317;0.003235762;0.724502499;0.472681225
odds_C_WP;Snw;-0.068504383;0.023710179;-2.889239443;0.006027083
odds_D_constant;(Intercept);-284.856594;90.98606631;-3.130771618;0.00313107
odds_D_constant;elevation;0.127967008;0.042039009;3.044006266;0.003973597
odds_D_constant;FDD;-0.033845248;0.045035442;-0.751524726;0.456430677
odds_D_constant;GDD;0.004860457;0.003590966;1.353523549;0.182960979
odds_D_constant;Snw;-0.086173338;0.026312953;-3.274939781;0.00209232
plant_height;(Intercept);5.974659708;2.935236888;2.035494898;0.047993338
plant_height;elevation;-0.001477213;0.001356191;-1.089237081;0.282116337
plant_height;FDD;0.000340711;0.001452856;0.234511468;0.815701028
plant_height;GDD;-0.000290442;0.000115846;-2.507149083;0.016028921
plant_height;Snw;0.002410563;0.000848864;2.839753816;0.006869462
seed_mass;(Intercept);7.864506961;4.330610093;1.816027486;0.076342458
seed_mass;elevation;-0.001343006;0.002000906;-0.671198942;0.505683617
seed_mass;FDD;-0.001995568;0.002143525;-0.930974578;0.35706434
seed_mass;GDD;-0.000544343;0.000170917;-3.184834652;0.002694566
seed_mass;Snw;0.002723489;0.001252402;2.174611899;0.035206864
SLA;(Intercept);55.62063706;13.15894627;4.226830622;0.000121209
SLA;elevation;-0.022654159;0.006079932;-3.726054869;0.000562609
SLA;FDD;-0.005697239;0.006513294;-0.874709399;0.386591647
SLA;GDD;-0.00039963;0.000519347;-0.769485939;0.445811436
SLA;Snw;0.005089045;0.003805536;1.337274143;0.188164451
