,,Control ,,,,Darkness,,,,Water stress,,,,Constant temperatures,,,,Cold stratification,,,
species,community,viable,mean germination,lower CI,upper CI,viable,mean germination,lower CI,upper CI,viable,mean germination,lower CI,upper CI,viable,mean germination,lower CI,upper CI,viable,mean germination,lower CI,upper CI
Agrostis tileni,Mediterranean,94,0.72,0.63,0.8,95,0.43,0.34,0.53,91,0.22,0.15,0.32,98,0.89,0.81,0.94,299,0.01,0.01,0.03
Androsace villosa,Temperate,99,0.13,0.08,0.21,97,0.65,0.55,0.74,97,0,0,0.04,98,0.35,0.26,0.45,300,0,0,0.02
Anthyllis vulneraria,Temperate,33,0.27,0.15,0.44,97,0.02,0.01,0.07,36,0.22,0.12,0.38,36,0.19,0.1,0.35,297,0.6,0.54,0.65
Arenaria erinacea,Temperate,95,0.11,0.06,0.18,88,0.25,0.17,0.35,92,0,0,0.04,90,0.06,0.02,0.12,296,0.01,0,0.03
Armeria cantabrica,Temperate,80,0.75,0.65,0.83,79,0.73,0.63,0.82,63,0.03,0.01,0.11,79,0.87,0.78,0.93,297,0,0,0.01
Armeria duriaei,Mediterranean,98,0.07,0.04,0.14,97,0,0,0.04,99,0,0,0.04,98,0.6,0.5,0.69,300,0,0,0.01
Avenella flexuosa,Mediterranean,4,0,0,0.49,47,0,0,0.08,3,0,0,0.56,2,0,0,0.66,178,0.77,0.7,0.83
Carex sempervirens,Temperate,97,0.88,0.8,0.93,95,0.26,0.19,0.36,85,0.02,0.01,0.08,89,0.82,0.73,0.89,300,0,0,0.01
Cerastium ramosissimum,Mediterranean,71,0,0,0.05,81,0.04,0.01,0.1,69,0,0,0.05,71,0,0,0.05,292,0.18,0.14,0.23
Conopodium majus,Mediterranean,31,0.03,0.01,0.16,97,0.01,0,0.06,31,0,0,0.11,24,0.25,0.12,0.45,298,0.59,0.53,0.64
Dianthus langeanus,Mediterranean,75,1,0.95,1,100,0.7,0.6,0.78,70,0.79,0.68,0.87,75,0.97,0.91,0.99,300,0.26,0.22,0.32
Erigeron alpinus,Temperate,65,0.94,0.85,0.98,72,0.79,0.68,0.87,66,0.44,0.33,0.56,65,0.86,0.76,0.93,220,0,0,0.02
Euphrasia salisburgensis,Temperate,87,0,0,0.04,95,0,0,0.04,95,0,0,0.04,99,0,0,0.04,300,0,0,0.01
Festuca glacialis,Temperate,98,0.93,0.86,0.96,99,1,0.96,1,75,0,0,0.05,97,0.99,0.94,1,298,0,0,0.01
Festuca rubra,Temperate,46,0.91,0.8,0.97,44,0.95,0.85,0.99,47,0,0,0.08,45,0.96,0.85,0.99,140,0,0,0.03
Festuca summilusitana,Mediterranean,11,0.36,0.15,0.65,65,0,0,0.06,22,0.05,0.01,0.22,13,0.38,0.18,0.64,291,0.54,0.48,0.6
Galium pyrenaicum,Temperate,92,0,0,0.04,85,0,0,0.04,96,0,0,0.04,95,0.02,0.01,0.07,300,0,0,0.01
Gentiana verna,Temperate,93,0,0,0.04,90,0,0,0.04,89,0,0,0.04,85,0,0,0.04,300,0,0,0.01
Gentianella campestris,Temperate,99,0,0,0.04,100,0,0,0.04,100,0,0,0.04,99,0,0,0.04,298,0,0,0.01
Gypsophila repens,Temperate,100,1,0.96,1,100,1,0.96,1,100,0.1,0.06,0.17,99,0.98,0.93,0.99,300,0,0,0.02
Helianthemum canum,Temperate,33,0.36,0.22,0.53,96,0.25,0.17,0.35,42,0.31,0.19,0.46,36,0.72,0.56,0.84,300,0.57,0.51,0.62
Helianthemum urrielense,Temperate,48,0.02,0,0.11,81,0.05,0.02,0.12,57,0,0,0.06,56,0,0,0.06,298,0.03,0.02,0.06
Helictochloa marginata,Mediterranean,26,0.12,0.04,0.29,51,0.14,0.07,0.26,8,0,0,0.32,16,0,0,0.19,238,0.32,0.26,0.38
Jasione cavanillesii,Temperate,100,0,0,0.04,98,0.02,0.01,0.07,99,0,0,0.04,98,0.01,0,0.06,300,0,0,0.01
Jasione laevis,Mediterranean,72,0.4,0.3,0.52,76,0.28,0.19,0.39,57,0.18,0.1,0.29,62,0.32,0.22,0.45,300,0,0,0.01
Jurinea humilis,Mediterranean,9,0.33,0.12,0.65,45,0.22,0.13,0.36,8,0.25,0.07,0.59,7,1,0.65,1,150,0.68,0.6,0.75
Kobresia myosuroides,Temperate,98,0,0,0.04,99,0,0,0.04,97,0,0,0.04,97,0,0,0.04,300,0,0,0.01
Koeleria vallesiana,Temperate,37,0.81,0.66,0.91,96,0.41,0.31,0.51,38,0.11,0.04,0.24,39,0.87,0.73,0.94,290,0.54,0.49,0.6
Linaria alpina,Temperate,65,0.11,0.05,0.21,70,0,0,0.05,72,0,0,0.05,63,0,0,0.06,225,0,0,0.02
Luzula caespitosa,Mediterranean,5,0.2,0.04,0.62,98,0.02,0.01,0.07,3,0,0,0.56,10,0,0,0.28,300,0.92,0.89,0.95
Minuartia recurva,Mediterranean,88,0.57,0.46,0.67,93,0.65,0.54,0.73,68,0.13,0.07,0.23,87,0.69,0.59,0.78,300,0.03,0.01,0.05
Minuartia sp,Temperate,95,0.11,0.06,0.18,96,0.1,0.06,0.18,85,0,0,0.04,79,0.14,0.08,0.23,298,0.02,0.01,0.04
Minuartia verna,Temperate,75,0.13,0.07,0.23,75,0.09,0.05,0.18,75,0,0,0.05,75,0.16,0.09,0.26,225,0,0,0.02
Neoschischkinia truncatula,Mediterranean,92,0.14,0.08,0.23,92,0,0,0.04,82,0.01,0,0.07,83,0.05,0.02,0.12,299,0.06,0.04,0.09
Pedicularis pyrenaica,Temperate,70,0.43,0.32,0.55,73,0.12,0.07,0.22,71,0.15,0.09,0.26,71,0.06,0.02,0.14,225,0.03,0.01,0.06
Phalacrocarpum oppositifolium,Mediterranean,1,0,0,0.79,57,0,0,0.06,2,0,0,0.66,1,0,0,0.79,225,0.9,0.85,0.93
Phyteuma hemisphaericum,Mediterranean,96,0.51,0.41,0.61,94,0.53,0.43,0.63,90,0.13,0.08,0.22,93,0.55,0.45,0.65,300,0,0,0.02
Plantago alpina,Temperate,91,0.97,0.91,0.99,91,0.95,0.88,0.98,91,0.93,0.86,0.97,75,0.96,0.89,0.99,291,0.04,0.03,0.07
Plantago holosteum,Mediterranean,85,0.96,0.9,0.99,100,0.88,0.8,0.93,91,0.96,0.89,0.98,86,0.99,0.94,1,299,0.1,0.07,0.14
Salix breviserrata,Temperate,59,0,0,0.06,39,0,0,0.09,10,0,0,0.28,48,0,0,0.07,299,0,0,0.01
Saxifraga conifera,Temperate,69,0.07,0.03,0.16,80,0.01,0,0.07,67,0,0,0.05,86,0.26,0.18,0.36,299,0,0,0.01
Saxifraga oppositifolia,Temperate,91,0.21,0.14,0.3,89,0,0,0.04,87,0,0,0.04,97,0.71,0.61,0.79,300,0,0,0.01
Saxifraga paniculata,Temperate,72,0,0,0.05,72,0,0,0.05,62,0,0,0.06,80,0.05,0.02,0.12,300,0,0,0.01
Scilla verna,Temperate,42,0,0,0.08,50,0.02,0,0.1,49,0,0,0.07,44,0.02,0,0.12,144,0,0,0.03
Sedum album,Temperate,54,0,0,0.07,69,0,0,0.05,48,0,0,0.07,65,0,0,0.06,225,0,0,0.02
Sedum anglicum,Mediterranean,91,0.7,0.6,0.79,86,0.17,0.11,0.27,87,0.14,0.08,0.23,93,0.77,0.68,0.85,299,0,0,0.01
Sedum atratum,Temperate,61,0,0,0.06,68,0,0,0.05,67,0,0,0.05,56,0,0,0.06,222,0,0,0.02
Sedum brevifolium,Mediterranean,81,0.33,0.24,0.44,80,0.15,0.09,0.24,82,0,0,0.04,87,0.4,0.31,0.51,299,0,0,0.01
Sempervivum arachnoideum,Mediterranean,75,0.11,0.06,0.2,79,0.01,0,0.07,58,0.05,0.02,0.14,67,0.31,0.22,0.43,298,0,0,0.02
Sempervivum vicentei,Temperate,45,0.62,0.48,0.75,44,0.02,0,0.12,44,0.5,0.36,0.64,44,0.41,0.28,0.56,149,0,0,0.03
Silene acaulis,Temperate,86,0.86,0.77,0.92,93,0.77,0.68,0.85,85,0.02,0.01,0.08,90,0.86,0.77,0.91,298,0.05,0.03,0.08
Silene ciliata,Mediterranean,94,0.93,0.85,0.96,93,0.95,0.88,0.98,92,0.29,0.21,0.39,91,0.9,0.82,0.95,299,0.01,0.01,0.03
Solidago virgaurea,Mediterranean,59,0,0,0.06,93,0,0,0.04,28,0,0,0.12,64,0,0,0.06,287,0.01,0,0.03
Spergula morisonii,Mediterranean,98,0.02,0.01,0.07,94,0,0,0.04,98,0,0,0.04,98,0.07,0.04,0.14,300,0,0,0.01
Teesdalia conferta,Mediterranean,0,NA,NA,NA,98,0,0,0.04,0,NA,NA,NA,0,NA,NA,NA,299,1,0.99,1
Thymus praecox,Mediterranean,37,0.43,0.29,0.59,47,0.43,0.3,0.57,41,0.15,0.07,0.28,42,0.57,0.42,0.71,150,0,0,0.02
Thymus praecox,Temperate,31,0.16,0.07,0.33,42,0.29,0.17,0.44,25,0,0,0.13,41,0.41,0.28,0.57,150,0,0,0.02
Veronica nummularia,Temperate,99,0,0,0.04,100,0.01,0,0.05,100,0,0,0.04,96,0,0,0.04,300,0,0,0.02
,,,,,,,14.37,,,,,,,,,,,,,,
