trait;micro_variable;x;y;label
LDMC;elevation;2075;0.17;NS
LDMC;FDD;160;0.17;NS
LDMC;GDD;1225;0.17;***
LDMC;Snow;215;0.17;NS
leaf_area;elevation;2075;5.1;NS
leaf_area;FDD;160;5.1;NS
leaf_area;GDD;1225;5.1;NS
leaf_area;Snow;215;5.1;NS
odds_B_dark;elevation;2075;5;NS
odds_B_dark;FDD;160;5;NS
odds_B_dark;GDD;1225;5;*
odds_B_dark;Snow;215;5;NS
odds_C_WP;elevation;2075;-6;NS
odds_C_WP;FDD;160;-6;NS
odds_C_WP;GDD;1225;-6;NS
odds_C_WP;Snow;215;-6;NS
odds_D_constant;elevation;2075;6;NS
odds_D_constant;FDD;160;6;NS
odds_D_constant;GDD;1225;6;NS
odds_D_constant;Snow;215;6;NS
plant_height;elevation;2075;1.9;NS
plant_height;FDD;160;1.9;NS
plant_height;GDD;1225;1.9;***
plant_height;Snow;215;1.9;NS
seed_mass;elevation;2075;4.1;*
seed_mass;FDD;160;4.1;NS
seed_mass;GDD;1225;4.1;NS
seed_mass;Snow;215;4.1;NS
SLA;elevation;2075;10.3;NS
SLA;FDD;160;10.3;NS
SLA;GDD;1225;10.3;*
SLA;Snow;215;10.3;NS
